@relation ac

 

@attribute temperature real
@attribute humidity real
@ATTRIBUTE hour DATE "yyyy-MM-dd HH:mm:ss"
@attribute turnOn {Y,N}

 

 

@data
10,82,"2018-03-27 22:22:10",N

9,99,"2018-03-27 23:22:10",N

17,77,"2018-03-28 0:22:10",N

18,96,"2018-03-28 1:22:10",N

18,50,"2018-03-28 2:22:10",N

18,67,"2018-03-28 3:22:10",N

19,73,"2018-03-28 4:22:10",N

19,55,"2018-03-28 5:22:10",N

20,56,"2018-03-28 6:22:10",N

21,56,"2018-03-28 7:22:10",Y

22,95,"2018-03-28 8:22:10",Y

22,58,"2018-03-28 9:22:10",Y

23,50,"2018-03-28 10:22:10",Y

24,4,"2018-03-28 11:22:10",Y

24,17,"2018-03-28 12:22:10",Y

24,49,"2018-03-28 13:22:10",Y

23,73,"2018-03-28 14:22:10",Y

23,82,"2018-03-28 15:22:10",Y

22,71,"2018-03-28 16:22:10",Y

20,87,"2018-03-28 17:22:10",N

19,91,"2018-03-28 18:22:10",N

18,91,"2018-03-28 19:22:10",N

16,56,"2018-03-28 20:22:10",N

14,78,"2018-03-28 21:22:10",N

10,80,"2018-03-28 22:22:10",N

9,52,"2018-03-28 23:22:10",N

17,87,"2018-03-29 0:22:10",N

18,67,"2018-03-29 1:22:10",N

18,93,"2018-03-29 2:22:10",N

18,56,"2018-03-29 3:22:10",N

19,97,"2018-03-29 4:22:10",N

19,62,"2018-03-29 5:22:10",N

20,72,"2018-03-29 6:22:10",N

21,80,"2018-03-29 7:22:10",Y

22,92,"2018-03-29 8:22:10",Y

22,70,"2018-03-29 9:22:10",Y

23,74,"2018-03-29 10:22:10",Y

24,48,"2018-03-29 11:22:10",Y

24,10,"2018-03-29 12:22:10",Y

24,38,"2018-03-29 13:22:10",Y

23,57,"2018-03-29 14:22:10",Y

23,52,"2018-03-29 15:22:10",Y

22,99,"2018-03-29 16:22:10",Y

20,56,"2018-03-29 17:22:10",N

19,94,"2018-03-29 18:22:10",N

18,84,"2018-03-29 19:22:10",N

16,92,"2018-03-29 20:22:10",N

14,76,"2018-03-29 21:22:10",N

10,74,"2018-03-29 22:22:10",N

9,58,"2018-03-29 23:22:10",N

17,99,"2018-03-30 0:22:10",N

18,86,"2018-03-30 1:22:10",N

18,71,"2018-03-30 2:22:10",N

18,53,"2018-03-30 3:22:10",N

19,62,"2018-03-30 4:22:10",N

19,78,"2018-03-30 5:22:10",N

20,96,"2018-03-30 6:22:10",N

21,79,"2018-03-30 7:22:10",Y

22,76,"2018-03-30 8:22:10",Y

22,76,"2018-03-30 9:22:10",Y

23,78,"2018-03-30 10:22:10",Y

24,35,"2018-03-30 11:22:10",Y

24,32,"2018-03-30 12:22:10",Y

24,43,"2018-03-30 13:22:10",Y

23,60,"2018-03-30 14:22:10",Y

23,81,"2018-03-30 15:22:10",Y

22,68,"2018-03-30 16:22:10",Y

20,91,"2018-03-30 17:22:10",N

19,90,"2018-03-30 18:22:10",N

18,90,"2018-03-30 19:22:10",N

16,97,"2018-03-30 20:22:10",N

14,79,"2018-03-30 21:22:10",N

10,83,"2018-03-30 22:22:10",N

9,93,"2018-03-30 23:22:10",N

17,71,"2018-03-31 0:22:10",N

18,88,"2018-03-31 1:22:10",N

18,62,"2018-03-31 2:22:10",N

18,53,"2018-03-31 3:22:10",N

19,95,"2018-03-31 4:22:10",N

19,55,"2018-03-31 5:22:10",N

20,97,"2018-03-31 6:22:10",N

21,68,"2018-03-31 7:22:10",Y

22,64,"2018-03-31 8:22:10",Y

22,95,"2018-03-31 9:22:10",Y

23,89,"2018-03-31 10:22:10",Y

24,48,"2018-03-31 11:22:10",Y

24,42,"2018-03-31 12:22:10",Y
24,47,"2018-03-31 13:22:10",Y
23,80,"2018-03-31 14:22:10",Y
23,78,"2018-03-31 15:22:10",Y
22,79,"2018-03-31 16:22:10",Y
20,55,"2018-03-31 17:22:10",N
19,97,"2018-03-31 18:22:10",N
18,99,"2018-03-31 19:22:10",N
16,84,"2018-03-31 20:22:10",N
14,52,"2018-03-31 21:22:10",N
10,70,"2018-03-31 22:22:10",N
9,77,"2018-03-31 23:22:10",N
